id,date,city,state,type,ideology,subideology,group,description,image
18127,12/31/2020,Blue Ridge,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life of our nation. Liberty of our people. Victory of the American spirit,"" ""Reclaim America,"" ""Better dead than red"" and ""United we stand.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18128,12/31/2020,Fenton,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-12-WA%2C%20Bremerton-OCT0094.jpg
18129,12/31/2020,Flint,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-12-WA%2C%20Bremerton-OCT0094.jpg
18130,12/31/2020,Princeton,NJ,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Strong families make strong nations,"" ""Not stolen conquered"" and ""Life of our nation. Liberty of our people. Victory of the American spirit."" Other propaganda read, ""Two parties one tyranny,"" and featured an image of an octopus enveloping a map of the United States.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18131,12/31/2020,East Stroudsburg,PA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First,"" ""Our tradition is revolution,"" ""For the nation against the state"" and ""Life of our nation. Liberty of our people. Victory of the American spirit.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18132,12/31/2020,Pembroke Pines,FL,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Revolution is tradition,"" ""America First,"" ""America is not for sale"" and ""Life of our nation. Liberty of our people. Victory of the American spirit.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18133,12/31/2020,Sherman,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First,"" ""United we stand,"" ""Patriot Front"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-12-WA%2C%20Bremerton-OCT0094.jpg
18134,12/31/2020,Indianapolis,IN,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reclaim America,"" ""Revolution is tradition,"" ""America is not for sale,"" ""United we stand"" and ""Reject poison.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20reclaim%20America.jpg
18135,12/31/2020,Grand Blanc,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reject poison,"" ""Better dead than red"" and ""Not stolen conquered.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
18136,12/31/2020,Boston,MA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life Liberty Victory,"" ""America First,"" ""One nation against invasion"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20logo.jpg
